encoding_set,num_jitters,tolerance,loading,encoding,comparing,total
encoding/encoding3.pickle,1,0.1,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.2,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.3,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.4,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.5,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.6,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.7,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.8,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.9,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,1.0,0.0,0.0,0.0,0.0
encoding/encoding3.pickle,1,0.1,0.0,0.0,0.0,0.0
